Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-12-23 08:30:00,CAD,GDP MoM,0.2000,0.1000,0.1000
2023-01-03 09:30:00,CAD,S&P Global Manufacturing PMI,49.6000,0.0000,49.2000
2023-01-05 08:30:00,CAD,Balance of Trade,0.1300,0.6100,-0.0400
2023-01-06 08:30:00,CAD,Employment Change,10.1000,8.0000,104.0000
2023-01-06 08:30:00,CAD,Participation Rate,64.8000,0.0000,65.0000
2023-01-06 08:30:00,CAD,Unemployment Rate,5.1000,5.2000,5.0000
2023-01-06 08:30:00,CAD,Full Time Employment Chg,50.7000,0.0000,84.5000
2023-01-06 08:30:00,CAD,Part Time Employment Chg,-40.6000,0.0000,19.5000
2023-01-06 10:00:00,CAD,Ivey PMI s.a,51.4000,0.0000,33.4000
2023-01-17 08:00:00,CAD,Housing Starts,263.0000,257.5000,248.6000
2023-01-17 08:30:00,CAD,Core Inflation Rate YoY,5.8000,0.0000,5.4000
2023-01-17 08:30:00,CAD,Inflation Rate MoM,0.1000,-0.5000,-0.6000
2023-01-17 08:30:00,CAD,Inflation Rate YoY,6.8000,6.4000,6.3000
2023-01-20 08:30:00,CAD,Retail Sales Ex Autos MoM,1.6000,-0.4000,-0.6000
2023-01-20 08:30:00,CAD,Retail Sales MoM,1.3000,-0.5000,-0.1000
