Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-10-06 04:00:00,EUR,Retail Sales YoY,-1.2000,-1.7000,-2.0000
2022-10-07 01:00:00,EUR,Retail Sales MoM,0.7000,-1.1000,-1.3000
2022-10-07 01:00:00,EUR,Retail Sales YoY,-2.6000,-4.3000,-4.3000
2022-10-07 02:00:00,EUR,Balance of Trade,-14.7900,-14.8300,-15.3000
2022-10-12 04:00:00,EUR,Industrial Production MoM,-2.3000,0.6000,1.5000
2022-10-12 04:30:00,EUR,10-Year Bund Auction,1.8700,0.0000,2.3300
2022-10-13 01:00:00,EUR,Inflation Rate YoY Final,7.9000,10.0000,10.0000
2022-10-13 01:00:00,EUR,Inflation Rate MoM Final,0.3000,1.9000,1.9000
2022-10-14 01:00:00,EUR,Wholesale Prices MoM,0.1000,0.0000,1.6000
2022-10-14 01:00:00,EUR,Wholesale Prices YoY,18.9000,0.0000,19.9000
2022-10-14 02:00:00,EUR,Inflation Rate MoM Final,0.5000,-0.5000,-0.6000
2022-10-14 02:00:00,EUR,Inflation Rate YoY Final,5.9000,5.6000,5.6000
2022-10-14 04:00:00,EUR,Balance of Trade,-34.0000,0.0000,-50.9000
2022-10-18 04:00:00,EUR,ZEW Economic Sentiment Index,-60.7000,-61.2000,-59.7000
2022-10-18 04:00:00,EUR,ZEW Economic Sentiment Index,-61.9000,-65.7000,-59.2000
2022-10-19 04:00:00,EUR,Inflation Rate YoY Final,9.1000,10.0000,9.9000
2022-10-19 04:00:00,EUR,Construction Output YoY,2.1000,0.0000,2.3000
2022-10-20 01:00:00,EUR,PPI MoM,7.9000,1.3000,2.3000
2022-10-20 02:00:00,EUR,Business Confidence,102.0000,101.0000,103.0000
2022-10-21 09:00:00,EUR,Consumer Confidence Flash,-28.8000,-30.0000,-27.6000
2022-10-24 02:00:00,EUR,S&P Global Manufacturing PMI Flash,47.7000,47.1000,47.4000
2022-10-24 02:00:00,EUR,S&P Global Services PMI Flash,52.9000,51.5000,51.3000
2022-10-24 02:30:00,EUR,S&P Global Services PMI Flash,45.0000,44.7000,44.9000
2022-10-24 02:30:00,EUR,S&P Global Manufacturing PMI Flash,47.8000,47.0000,45.7000
2022-10-24 03:00:00,EUR,S&P Global Manufacturing PMI Flash,48.4000,47.8000,46.6000
2022-10-24 03:00:00,EUR,S&P Global Services PMI Flash,48.8000,48.2000,48.2000
2022-10-25 03:00:00,EUR,Ifo Business Climate,84.4000,83.3000,84.3000
2022-10-26 02:00:00,EUR,Consumer Confidence,79.0000,77.0000,82.0000
2022-10-26 05:00:00,EUR,Unemployment Benefit Claims,-1.0000,0.0000,-60.0000
2022-10-27 01:00:00,EUR,GfK Consumer Confidence,-42.8000,-41.9000,-41.9000
2022-10-27 07:00:00,EUR,Deposit Facility Rate,0.7500,1.5000,1.5000
2022-10-27 07:00:00,EUR,ECB Interest Rate Decision,1.2500,2.0000,2.0000
2022-10-28 00:30:00,EUR,GDP Growth Rate QoQ Prel,0.5000,0.2000,0.2000
2022-10-28 00:30:00,EUR,GDP Growth Rate YoY Prel,4.2000,1.0000,1.0000
2022-10-28 02:00:00,EUR,Inflation Rate MoM Prel,-0.6000,0.5000,1.0000
