Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-11-29 19:30:00,AUD,Building Permits MoM Prel,-8.1000,-1.8000,-6.0000
2022-11-30 16:30:00,AUD,Ai Group Manufacturing Index,49.6000,0.0000,0.0000
2022-11-30 17:00:00,AUD,S&P Global Manufacturing PMI Final,52.7000,0.0000,0.0000
2022-12-01 19:30:00,AUD,Investment Lending for Homes,-3.5000,0.0000,-2.2000
2022-12-01 19:30:00,AUD,Retail Sales MoM Final,0.6000,0.0000,-0.2000
2022-12-01 19:30:00,AUD,Home Loans MoM,-4.8000,-4.5000,-2.9000
2022-12-04 17:00:00,AUD,S&P Global Services PMI Final,49.3000,0.0000,47.6000
2022-12-04 19:30:00,AUD,Company Gross Profits QoQ,7.8000,0.3000,-12.4000
2022-12-05 22:30:00,AUD,RBA Interest Rate Decision,2.8500,3.1000,3.1000
2022-12-06 16:30:00,AUD,Ai Group Services Index,47.7000,0.0000,45.6000
2022-12-06 19:30:00,AUD,GDP Growth Rate QoQ,0.9000,0.7000,0.6000
2022-12-06 19:30:00,AUD,GDP Growth Rate YoY,3.4000,6.2000,5.9000
2022-12-06 19:30:00,AUD,Building Permits MoM Final,-8.1000,-6.0000,-6.0000
2022-12-07 19:30:00,AUD,Balance of Trade,12.4440,12.1000,12.2170
2022-12-12 18:30:00,AUD,Westpac Consumer Confidence Change,-6.9000,0.0000,3.0000
2022-12-12 18:30:00,AUD,Westpac Consumer Confidence Index,78.0000,0.0000,80.0000
2022-12-14 19:30:00,AUD,Full Time Employment Chg,55.0000,0.0000,34.2000
2022-12-14 19:30:00,AUD,Employment Change,43.1000,19.0000,64.0000
2022-12-14 19:30:00,AUD,Unemployment Rate,3.4000,3.4000,3.4000
2022-12-14 19:30:00,AUD,Part Time Employment Chg,-11.9000,0.0000,29.8000
2022-12-15 17:00:00,AUD,S&P Global Services PMI Flash,47.6000,0.0000,0.0000
2022-12-15 17:00:00,AUD,Judo Bank Manufacturing PMI Flash,51.3000,0.0000,50.4000
2022-12-15 17:00:00,AUD,S&P Global Manufacturing PMI Flash,51.3000,0.0000,0.0000
2022-12-15 17:00:00,AUD,Judo Bank Services PMI Flash,47.6000,0.0000,46.9000
2022-12-22 19:30:00,AUD,Housing Credit MoM,0.4000,0.0000,0.4000
2023-01-01 16:30:00,AUD,Ai Group Manufacturing Index,44.7000,0.0000,0.0000
2023-01-02 17:00:00,AUD,Judo Bank Manufacturing PMI Final,51.3000,0.0000,50.2000
2023-01-02 17:00:00,AUD,S&P Global Manufacturing PMI Final,51.3000,0.0000,0.0000
2023-01-04 17:00:00,AUD,Judo Bank Services PMI Final,47.6000,46.9000,47.3000
2023-01-04 17:00:00,AUD,S&P Global Services PMI Final,47.6000,0.0000,0.0000
2023-01-05 16:30:00,AUD,Ai Group Services Index,45.6000,0.0000,0.0000
2023-01-08 19:30:00,AUD,Building Permits MoM Prel,-5.6000,-1.0000,-9.0000
2023-01-10 19:30:00,AUD,Monthly CPI Indicator,6.9000,7.3000,7.3000
2023-01-10 19:30:00,AUD,Retail Sales MoM,0.4000,0.6000,1.4000
2023-01-11 19:30:00,AUD,Balance of Trade,12.2170,10.5000,13.2010
2023-01-12 19:30:00,AUD,Investment Lending for Homes,-2.3000,0.0000,-3.6000
2023-01-12 19:30:00,AUD,Home Loans MoM,-3.1000,-3.0000,-3.8000
2023-01-16 18:30:00,AUD,Westpac Consumer Confidence Index,80.3000,0.0000,84.3000
2023-01-16 18:30:00,AUD,Westpac Consumer Confidence Change,3.0000,0.0000,5.0000
2023-01-18 19:30:00,AUD,Unemployment Rate,3.5000,3.4000,3.5000
2023-01-18 19:30:00,AUD,Part Time Employment Chg,25.0000,0.0000,-32.2000
2023-01-18 19:30:00,AUD,Full Time Employment Chg,33.2000,0.0000,17.6000
2023-01-18 19:30:00,AUD,Employment Change,58.2000,22.5000,-14.6000
