Datetime,Currency,Event,Previous_Value,Forecast_Value,Actual_Value
2022-10-31 04:30:00,GBP,BoE Consumer Credit,1.2150,0.9780,0.7450
2022-10-31 04:30:00,GBP,Mortgage Lending,6.1360,0.0000,6.0600
2022-11-01 02:00:00,GBP,Nationwide Housing Prices YoY,9.5000,8.3000,7.2000
2022-11-01 04:30:00,GBP,S&P Global/CIPS Manufacturing PMI Final,48.4000,45.8000,46.2000
2022-11-03 04:30:00,GBP,S&P Global/CIPS UK Services PMI Final,50.0000,47.5000,48.8000
2022-11-03 07:00:00,GBP,BoE Interest Rate Decision,2.2500,3.0000,3.0000
2022-11-03 07:00:00,GBP,BoE MPC Vote Hike,9.0000,9.0000,9.0000
2022-11-04 04:30:00,GBP,S&P Global/CIPS Construction PMI,52.3000,50.5000,53.2000
2022-11-07 02:00:00,GBP,Halifax House Price Index MoM,-0.1000,0.0000,-0.4000
2022-11-07 02:00:00,GBP,Halifax House Price Index YoY,9.8000,0.0000,8.3000
2022-11-07 19:00:00,GBP,BRC Retail Sales Monitor YoY,1.8000,0.0000,1.2000
2022-11-11 02:00:00,GBP,GDP MoM,-0.1000,-0.4000,-0.6000
2022-11-11 02:00:00,GBP,Industrial Production YoY,-4.3000,-4.3000,-3.1000
2022-11-11 02:00:00,GBP,GDP Growth Rate QoQ Prel,0.2000,-0.5000,-0.2000
2022-11-11 02:00:00,GBP,GDP Growth Rate YoY Prel,4.4000,2.1000,2.4000
2022-11-11 02:00:00,GBP,Manufacturing Production YoY,-6.2000,-6.6000,-5.8000
2022-11-11 02:00:00,GBP,Balance of Trade,-4.6760,0.0000,-3.1350
2022-11-11 02:00:00,GBP,Goods Trade Balance Non-EU,-9.2480,0.0000,-8.5510
2022-11-11 02:00:00,GBP,Goods Trade Balance,-17.1770,-18.7500,-15.6560
2022-11-11 02:00:00,GBP,GDP 3-Month Avg,-0.1000,-0.5000,-0.2000
2022-11-11 02:00:00,GBP,Business Investment QoQ Prel,3.7000,0.0000,-0.5000
2022-11-15 02:00:00,GBP,Unemployment Rate,3.5000,3.5000,3.6000
2022-11-15 02:00:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),6.1000,5.9000,6.0000
2022-11-15 02:00:00,GBP,Claimant Count Change,3.9000,0.0000,3.3000
2022-11-15 02:00:00,GBP,Employment Change,-109.0000,-25.0000,-52.0000
2022-11-16 02:00:00,GBP,Inflation Rate YoY,10.1000,10.7000,11.1000
2022-11-16 02:00:00,GBP,Inflation Rate MoM,0.5000,1.7000,2.0000
2022-11-16 02:00:00,GBP,Core Inflation Rate YoY,6.5000,6.4000,6.5000
2022-11-17 19:00:00,GBP,GfK Consumer Confidence,-47.0000,0.0000,-44.0000
2022-11-18 02:00:00,GBP,Retail Sales YoY,-6.8000,-6.5000,-6.1000
2022-11-18 02:00:00,GBP,Retail Sales ex Fuel MoM,-1.5000,0.6000,0.3000
2022-11-18 02:00:00,GBP,Retail Sales MoM,-1.5000,0.3000,0.6000
2022-11-23 04:30:00,GBP,S&P Global/CIPS UK Services PMI Flash,48.8000,48.0000,48.8000
2022-11-23 04:30:00,GBP,S&P Global/CIPS Manufacturing PMI Flash,46.2000,45.8000,46.2000
2022-11-24 06:00:00,GBP,CBI Industrial Trends Orders,-4.0000,-8.0000,-5.0000
2022-11-28 06:00:00,GBP,CBI Distributive Trades,18.0000,0.0000,-19.0000
2022-11-29 04:30:00,GBP,Mortgage Lending,5.9000,5.0230,3.9660
2022-11-29 04:30:00,GBP,BoE Consumer Credit,0.6080,0.9000,0.7690
2022-11-29 04:30:00,GBP,Mortgage Approvals,65.9670,60.2000,58.9770
2022-12-01 02:00:00,GBP,Nationwide Housing Prices MoM,-0.9000,-0.3000,-1.4000
2022-12-01 02:00:00,GBP,Nationwide Housing Prices YoY,7.2000,5.8000,4.4000
2022-12-01 04:30:00,GBP,S&P Global/CIPS Manufacturing PMI Final,46.2000,46.2000,46.5000
2022-12-05 04:30:00,GBP,S&P Global/CIPS UK Services PMI Final,48.8000,48.8000,48.8000
2022-12-05 19:00:00,GBP,BRC Retail Sales Monitor YoY,1.2000,0.0000,4.1000
2022-12-06 04:30:00,GBP,S&P Global/CIPS Construction PMI,53.2000,52.0000,50.4000
2022-12-07 02:00:00,GBP,Halifax House Price Index MoM,-0.4000,-0.2000,-2.3000
2022-12-07 02:00:00,GBP,Halifax House Price Index YoY,8.2000,0.0000,4.7000
2022-12-12 02:00:00,GBP,Industrial Production YoY,-3.1000,-2.8000,-2.4000
2022-12-12 02:00:00,GBP,GDP 3-Month Avg,-0.2000,-0.4000,-0.3000
2022-12-12 02:00:00,GBP,Goods Trade Balance,-15.6560,-15.6500,-14.4760
2022-12-12 02:00:00,GBP,GDP MoM,-0.6000,0.4000,0.5000
2022-12-12 02:00:00,GBP,Goods Trade Balance Non-EU,-8.5510,0.0000,-4.8230
2022-12-13 02:00:00,GBP,Unemployment Rate,3.6000,3.7000,3.7000
2022-12-13 02:00:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),6.0000,6.2000,6.1000
2022-12-13 02:00:00,GBP,Claimant Count Change,-6.4000,3.5000,30.5000
2022-12-13 02:00:00,GBP,Employment Change,-52.0000,-17.0000,27.0000
2022-12-14 02:00:00,GBP,Inflation Rate YoY,11.1000,10.9000,10.7000
2022-12-14 02:00:00,GBP,Core Inflation Rate YoY,6.5000,6.5000,6.3000
2022-12-14 02:00:00,GBP,Inflation Rate MoM,2.0000,0.6000,0.4000
2022-12-15 07:00:00,GBP,BoE MPC Vote Hike,9.0000,9.0000,7.0000
2022-12-15 07:00:00,GBP,BoE Interest Rate Decision,3.0000,3.5000,3.5000
2022-12-15 19:00:00,GBP,GfK Consumer Confidence,-44.0000,-43.0000,-42.0000
2022-12-16 02:00:00,GBP,Retail Sales MoM,0.9000,0.3000,-0.4000
2022-12-16 02:00:00,GBP,Retail Sales YoY,-5.9000,-5.6000,-5.9000
2022-12-16 02:00:00,GBP,Retail Sales ex Fuel MoM,0.7000,0.3000,-0.3000
2022-12-16 04:30:00,GBP,S&P Global/CIPS Manufacturing PMI Flash,46.5000,46.3000,44.7000
2022-12-16 04:30:00,GBP,S&P Global/CIPS UK Services PMI Flash,48.8000,48.5000,50.0000
2022-12-19 06:00:00,GBP,CBI Industrial Trends Orders,-5.0000,-9.0000,-6.0000
2022-12-21 06:00:00,GBP,CBI Distributive Trades,-19.0000,-23.0000,11.0000
2022-12-22 02:00:00,GBP,Current Account,-33.7680,-20.8400,-19.4020
2022-12-22 02:00:00,GBP,GDP Growth Rate QoQ Final,0.1000,-0.2000,-0.3000
2022-12-22 02:00:00,GBP,GDP Growth Rate YoY Final,4.0000,2.4000,1.9000
2022-12-29 04:30:00,GBP,BoE Consumer Credit,0.7690,0.0000,0.0000
2022-12-29 04:30:00,GBP,Mortgage Approvals,58.9770,0.0000,0.0000
2022-12-30 02:00:00,GBP,Nationwide Housing Prices YoY,4.4000,2.3000,2.8000
2022-12-30 02:00:00,GBP,Nationwide Housing Prices MoM,-1.4000,-0.7000,-0.1000
2023-01-03 04:30:00,GBP,S&P Global/CIPS Manufacturing PMI Final,46.5000,44.7000,45.3000
2023-01-04 04:30:00,GBP,BoE Consumer Credit,0.7000,0.9000,1.5070
2023-01-04 04:30:00,GBP,Mortgage Approvals,57.9000,55.0000,46.0750
2023-01-04 04:30:00,GBP,Mortgage Lending,3.6000,3.7000,4.3580
2023-01-05 04:30:00,GBP,S&P Global/CIPS UK Services PMI Final,48.8000,50.0000,49.9000
2023-01-06 02:00:00,GBP,Halifax House Price Index MoM,-2.4000,0.0000,-1.5000
2023-01-06 02:00:00,GBP,Halifax House Price Index YoY,4.6000,0.0000,2.0000
2023-01-06 04:30:00,GBP,S&P Global/CIPS Construction PMI,50.4000,49.6000,48.8000
2023-01-09 19:00:00,GBP,BRC Retail Sales Monitor YoY,4.1000,2.4000,6.5000
2023-01-13 02:00:00,GBP,GDP MoM,0.5000,-0.2000,0.1000
2023-01-13 02:00:00,GBP,GDP 3-Month Avg,-0.4000,-0.3000,-0.3000
2023-01-13 02:00:00,GBP,Goods Trade Balance,-12.2580,-14.9000,-15.6230
2023-01-13 02:00:00,GBP,Industrial Production MoM,-0.1000,-0.3000,-0.2000
2023-01-13 02:00:00,GBP,Manufacturing Production MoM,0.7000,-0.2000,-0.5000
2023-01-13 02:00:00,GBP,Goods Trade Balance Non-EU,-2.9990,0.0000,-4.6660
2023-01-17 02:00:00,GBP,Employment Change,27.0000,5.0000,27.0000
2023-01-17 02:00:00,GBP,Average Earnings incl. Bonus (3Mo/Yr),6.2000,6.2000,6.4000
2023-01-17 02:00:00,GBP,Unemployment Rate,3.7000,3.7000,3.7000
2023-01-17 02:00:00,GBP,Claimant Count Change,16.1000,0.0000,19.7000
2023-01-18 02:00:00,GBP,Inflation Rate YoY,10.7000,10.5000,10.5000
2023-01-18 02:00:00,GBP,Inflation Rate MoM,0.4000,0.4000,0.4000
2023-01-18 02:00:00,GBP,Core Inflation Rate YoY,6.3000,6.2000,6.3000
2023-01-19 19:00:00,GBP,Gfk Consumer Confidence,-42.0000,-40.0000,-45.0000
2023-01-20 02:00:00,GBP,Retail Sales YoY,-5.7000,-4.1000,-5.8000
2023-01-20 02:00:00,GBP,Retail Sales ex Fuel MoM,-0.3000,0.4000,-1.1000
2023-01-20 02:00:00,GBP,Retail Sales MoM,-0.5000,0.5000,-1.0000
